Shipment_ID,Supplier,Distance,Lead_Time,Weather,Inventory,Transport_Cost,Delayed
1,SupplierD,509,14,Storm,124,7997,1
2,SupplierE,405,4,Cloudy,94,20376,0
3,SupplierC,373,12,Storm,309,11112,1
4,SupplierE,182,8,Cloudy,203,8287,0
5,SupplierE,937,2,Rain,204,13578,1
6,SupplierB,854,1,Cloudy,479,21624,1
7,SupplierC,889,3,Clear,412,20860,1
8,SupplierC,176,9,Cloudy,497,9426,1
9,SupplierC,155,4,Clear,283,14599,0
10,SupplierE,653,10,Cloudy,100,3389,1
11,SupplierD,848,5,Storm,355,3999,1
12,SupplierC,427,2,Rain,311,15812,1
13,SupplierE,954,4,Clear,364,18599,1
14,SupplierB,100,2,Cloudy,174,4855,0
15,SupplierD,78,2,Cloudy,448,11125,0
16,SupplierB,511,4,Cloudy,294,16794,0
17,SupplierD,345,6,Storm,79,5763,1
18,SupplierE,346,7,Storm,475,23047,1
19,SupplierA,775,10,Clear,171,7986,1
20,SupplierD,828,3,Clear,174,4481,1
21,SupplierB,456,3,Storm,86,6731,1
22,SupplierE,818,10,Clear,219,19835,1
23,SupplierD,863,6,Rain,173,22477,1
24,SupplierA,662,13,Rain,406,20266,1
25,SupplierA,454,12,Storm,84,23792,1
26,SupplierC,395,3,Clear,136,23452,0
27,SupplierC,671,13,Cloudy,183,13758,1
28,SupplierB,469,2,Rain,245,22661,1
29,SupplierD,231,8,Storm,323,19311,1
30,SupplierD,874,5,Clear,250,11566,1
31,SupplierC,50,1,Storm,418,14889,1
32,SupplierD,880,3,Cloudy,334,14254,1
33,SupplierD,999,10,Rain,126,24074,1
34,SupplierA,616,8,Storm,108,14442,1
35,SupplierC,420,4,Storm,480,16521,1
36,SupplierE,985,14,Storm,175,23979,1
37,SupplierC,960,7,Cloudy,450,7559,1
38,SupplierE,710,10,Storm,158,19199,1
39,SupplierA,480,12,Cloudy,273,10291,1
40,SupplierB,358,14,Cloudy,327,11160,1
41,SupplierD,186,14,Cloudy,117,3112,1
42,SupplierA,251,2,Rain,118,24515,1
43,SupplierD,485,7,Rain,214,22581,1
44,SupplierB,362,5,Storm,354,18924,1
45,SupplierB,166,5,Storm,446,19523,1
46,SupplierA,715,6,Rain,211,4424,1
47,SupplierB,986,13,Clear,414,22333,1
48,SupplierE,852,9,Rain,391,22552,1
49,SupplierB,624,14,Cloudy,358,13808,1
50,SupplierD,293,6,Rain,428,9043,1
51,SupplierD,586,12,Cloudy,392,9989,1
52,SupplierD,651,13,Storm,484,9261,1
53,SupplierD,124,14,Clear,436,3887,1
54,SupplierE,855,8,Storm,91,22488,1
55,SupplierC,435,7,Cloudy,403,19433,0
56,SupplierA,952,9,Cloudy,465,23335,1
57,SupplierD,259,4,Cloudy,158,22944,0
58,SupplierB,524,2,Clear,100,19402,0
59,SupplierD,467,7,Rain,299,24205,1
60,SupplierB,396,6,Storm,390,15253,1
61,SupplierB,578,1,Storm,479,21990,1
62,SupplierD,689,11,Rain,432,10846,1
63,SupplierE,988,9,Storm,70,9432,1
64,SupplierB,925,9,Clear,349,16452,1
65,SupplierB,812,12,Storm,188,16395,1
66,SupplierD,228,2,Cloudy,408,6765,0
67,SupplierB,231,3,Rain,373,21822,1
68,SupplierB,713,5,Clear,434,18950,1
69,SupplierD,74,5,Rain,141,15502,1
70,SupplierD,229,1,Clear,496,12741,0
71,SupplierA,759,8,Cloudy,329,8941,1
72,SupplierE,550,12,Rain,174,7855,1
73,SupplierE,905,8,Storm,446,18166,1
74,SupplierB,210,4,Clear,160,22145,0
75,SupplierE,226,13,Rain,403,23840,1
76,SupplierB,334,7,Storm,188,8788,1
77,SupplierA,112,11,Rain,484,3201,1
78,SupplierD,711,10,Rain,322,13561,1
79,SupplierD,715,3,Rain,148,19901,1
80,SupplierD,205,6,Clear,301,10737,0
81,SupplierE,931,14,Storm,387,4988,1
82,SupplierA,518,10,Cloudy,153,18441,1
83,SupplierE,98,13,Clear,263,14737,1
84,SupplierE,898,10,Clear,298,17256,1
85,SupplierA,133,12,Clear,201,23186,1
86,SupplierA,410,14,Cloudy,299,10162,1
87,SupplierA,738,9,Storm,324,16065,1
88,SupplierA,197,1,Storm,214,17114,1
89,SupplierD,679,5,Storm,390,11399,1
90,SupplierC,391,4,Rain,57,8633,1
91,SupplierC,525,8,Rain,333,8755,1
92,SupplierA,112,11,Rain,54,13825,1
93,SupplierC,750,12,Cloudy,194,7117,1
94,SupplierC,409,1,Rain,150,4518,1
95,SupplierA,610,9,Cloudy,213,19346,1
96,SupplierC,376,6,Storm,423,5600,1
97,SupplierE,818,4,Rain,196,16237,1
98,SupplierB,785,12,Rain,113,21579,1
99,SupplierB,190,9,Clear,140,6554,1
100,SupplierA,264,11,Cloudy,166,19193,1
101,SupplierD,484,5,Storm,403,22233,1
102,SupplierA,940,5,Clear,316,18253,1
103,SupplierD,772,12,Clear,359,19194,1
